Client_ID;Nom_Client;Genre;Age;Region;Type_Pret;Revenu_Mensuel_CFA;Montant_Pret_CFA;Duree_Mois;Taux_Interet;Garantie;Date_Debut;Ratio_Remboursement;Paiements_Manques;Score_Credit;Statut_Pret
CLI00120;AimÇe Berthelot;Femme;28;Korhogo;SantÇ;664199;4865899;12;21,14;Oui;2024-01-09;1,03;0;747;SoldÇ
CLI00121;Margaux Petit;Femme;22;Korhogo;SantÇ;458359;2342358;18;23,43;Oui;2023-04-24;0,49;2;714;En retard
CLI00122;Sabine HervÇ;Femme;25;Yamoussoukro;Agriculture;377532;307170;6;19,92;Non;2024-05-12;0,34;12;458;DÇfaut
CLI00123;Simone Schmitt de la Potier;Femme;40;Daloa;Commerce;760280;4811319;36;6,7;Oui;2025-11-27;0,16;8;624;DÇfaut
CLI00124;Guillaume Philippe de Dumas;Femme;49;Yamoussoukro;Transport;969223;4124025;36;13,84;Oui;2022-05-30;0,4;14;419;DÇfaut
CLI00125;Margaux Girard;Homme;39;Abidjan;Agriculture;1100542;4470243;18;5,91;Oui;2024-11-11;0,53;5;688;En retard
CLI00126;Benoåt Fernandez-Dos Santos;Femme;34;BouakÇ;Transport;367802;2193452;18;11,56;Oui;2022-01-14;0,11;12;562;DÇfaut
CLI00127;Olivier Barbier-Marty;Homme;53;Abidjan;Immobilier;822742;654613;24;22,24;Non;2021-06-22;0,15;6;616;DÇfaut
CLI00128;Guillaume du Legendre;Femme;57;Korhogo;Transport;928136;3553870;18;7,3;Oui;2024-02-27;0,12;11;514;DÇfaut
CLI00129;Juliette Lambert-Marchand;Femme;26;Yamoussoukro;SantÇ;995850;938044;12;13,71;Non;2023-06-07;0,54;1;774;En retard
CLI00130;Noâl-Luc Jacques;Femme;35;Yamoussoukro;Immobilier;778495;1460399;6;15,21;Oui;2023-10-09;0,23;14;463;DÇfaut
CLI00131;Alexandrie Le Wagner;Homme;36;BouakÇ;SantÇ;295596;1278463;18;8,95;Oui;2022-02-11;0,76;0;654;Actif
CLI00132;Robert RÇmy;Femme;50;BouakÇ;Transport;1021422;4785300;36;11,46;Non;2025-09-24;1,17;0;757;SoldÇ
CLI00133;ValÇrie Huet;Homme;51;San Pedro;Transport;1007377;2590241;18;16,83;Non;2025-06-01;0,49;1;712;En retard
CLI00134;Marthe Renaud;Homme;24;Korhogo;Education;853298;2458176;6;17,89;Oui;2022-09-30;1,18;0;779;SoldÇ
CLI00135;Simone Berthelot;Femme;50;Abidjan;Transport;166030;3822639;36;18,04;Oui;2022-05-04;0,45;4;561;En retard
CLI00136;SÇbastien Pascal;Homme;42;Korhogo;Education;256851;4282463;12;5,78;Non;2022-11-10;0,88;0;744;Actif
CLI00137;Nathalie Antoine;Homme;44;Daloa;SantÇ;861927;2423083;24;13,18;Oui;2026-01-08;0,47;5;630;En retard
CLI00138;Arthur Leclerc;Femme;25;Yamoussoukro;Commerce;771411;842773;36;18,57;Oui;2024-06-03;0,41;15;455;DÇfaut
CLI00139;Anne Le Masse;Homme;43;Korhogo;Transport;730603;3337981;12;16,9;Non;2025-04-12;1,13;0;772;SoldÇ
CLI00140;Michel Guibert;Femme;29;BouakÇ;Immobilier;1183926;833940;24;15,17;Oui;2024-04-09;0,12;10;560;DÇfaut
CLI00141;Charles Garcia;Femme;33;Korhogo;Education;555095;1203981;12;6,54;Oui;2025-01-21;1,03;0;752;SoldÇ
CLI00142;Sabine Guillon;Homme;63;Daloa;Transport;786246;1149319;36;12,53;Oui;2022-07-21;0,28;15;519;DÇfaut
CLI00143;Roland Rossi-Vidal;Homme;47;BouakÇ;Education;843991;2042547;24;17,21;Non;2021-12-26;0,93;0;699;Actif
CLI00144;Thierry Moulin-Muller;Homme;40;Yamoussoukro;Transport;1063597;1677525;18;18,57;Non;2024-03-15;0,73;4;716;En retard
CLI00145;Maurice Boutin-Peltier;Femme;31;Daloa;Education;498796;1210971;18;6,04;Oui;2025-04-13;0,63;3;688;En retard
CLI00146;Michelle Lenoir;Homme;39;BouakÇ;Transport;255898;1394797;18;13,99;Oui;2024-02-05;0,66;4;662;En retard
CLI00147;Adrienne Chartier Le Bodin;Femme;22;BouakÇ;Commerce;950101;496751;24;15,04;Non;2022-05-09;0,36;7;600;DÇfaut
CLI00148;Patrick Paris;Femme;27;Daloa;Agriculture;783154;1275150;12;5,77;Non;2024-01-23;1,11;0;712;SoldÇ
CLI00149;Nathalie Tanguy;Femme;49;Abidjan;Immobilier;91012;714593;6;10,12;Non;2025-04-08;1,02;0;722;SoldÇ
CLI00150;Pierre Martin;Homme;40;Abidjan;Commerce;335534;450551;12;13,4;Non;2024-03-19;0,97;0;740;Actif
CLI00151;Charles-êric Ribeiro;Femme;59;Korhogo;Immobilier;114467;4373284;36;9,84;Oui;2025-08-10;0,26;12;437;DÇfaut
CLI00152;Adrien Leroy;Homme;57;San Pedro;Transport;953605;1621302;6;15,47;Oui;2025-11-01;0,5;5;693;En retard
CLI00153;Constance-Alexandria Devaux;Homme;61;BouakÇ;SantÇ;891348;3181487;18;19,95;Non;2024-02-22;0,49;1;710;En retard
CLI00154;Marcelle Jacob;Homme;58;Daloa;Transport;777342;1169120;6;12,05;Non;2023-07-15;0,47;2;735;En retard
CLI00155;Christine de Marie;Homme;29;Yamoussoukro;Immobilier;212331;3889294;6;10,87;Oui;2023-07-07;0,15;9;514;DÇfaut
CLI00156;Franck Rossi;Femme;55;Daloa;Immobilier;1072791;2174949;6;20,07;Oui;2021-11-03;0,31;11;536;DÇfaut
CLI00157;RenÇ Alves;Femme;28;Yamoussoukro;Agriculture;851792;3715413;24;19,87;Non;2022-12-09;1,08;0;822;SoldÇ
CLI00158;Olivie Bertrand;Femme;65;San Pedro;Education;1123382;3131529;36;10,33;Oui;2025-04-09;0,19;12;559;DÇfaut
CLI00159;Daniel Mary de la Guichard;Homme;55;San Pedro;Education;696072;2744516;6;6,6;Non;2025-04-26;0,83;0;694;Actif
CLI00160;Gilbert Renard;Femme;31;Korhogo;Transport;1010943;2998989;24;5,85;Non;2025-05-15;1,06;0;797;SoldÇ
CLI00161;Michäle-Christine Collet;Femme;61;Abidjan;Agriculture;200288;679490;24;12,27;Oui;2025-11-06;0,98;0;674;Actif
CLI00162;Franáoise Brun;Femme;23;Korhogo;Agriculture;344723;613994;12;20,57;Oui;2023-07-07;0,5;4;679;En retard
CLI00163;Isabelle Giraud;Femme;44;Daloa;Immobilier;860168;3774032;6;16,48;Non;2024-04-09;0,68;4;714;En retard
CLI00164;Hugues Bouvier;Homme;28;Yamoussoukro;Immobilier;134344;1610684;24;15,35;Oui;2022-05-01;1,1;0;664;SoldÇ
CLI00165;Emmanuel du Brunet;Femme;34;BouakÇ;SantÇ;678898;4170485;12;7,45;Non;2025-02-08;1,04;0;764;SoldÇ
CLI00166;Gilbert Wagner;Femme;26;Daloa;SantÇ;750224;2964414;6;16;Oui;2022-11-04;0,42;10;561;DÇfaut
CLI00167;HÇläne PrÇvost;Homme;44;San Pedro;Commerce;1146938;1931075;6;24,7;Oui;2022-11-25;0,97;0;828;Actif
CLI00168;Patrick Alves du Guillaume;Femme;56;Yamoussoukro;Transport;853662;3970884;36;7,6;Oui;2025-07-20;1,07;0;821;SoldÇ
CLI00169;Adrien Blondel-Lacroix;Femme;54;San Pedro;Transport;941499;3484577;36;6,48;Oui;2023-12-27;1,17;0;749;SoldÇ
CLI00170;PÇnÇlope Colin-Bonneau;Femme;29;Korhogo;Agriculture;461604;1132406;24;15,06;Oui;2021-10-08;1,06;0;704;SoldÇ
CLI00171;Lucas Pottier;Femme;31;Abidjan;Immobilier;419669;2756674;12;11,92;Non;2022-06-25;1,13;0;678;SoldÇ
CLI00172;AimÇ Normand;Homme;61;BouakÇ;SantÇ;655565;1100004;18;17,29;Oui;2023-05-23;0,2;8;561;DÇfaut
CLI00173;AdÇlaãde Delorme;Femme;57;Daloa;Agriculture;166390;288014;6;5,91;Non;2021-10-12;0,81;0;710;Actif
CLI00174;Georges Bouvet;Femme;60;BouakÇ;SantÇ;143514;4227846;36;10,79;Non;2024-07-14;1,15;0;685;SoldÇ
CLI00175;Alexandria Andre;Femme;40;Yamoussoukro;Education;1031150;662142;6;8,16;Oui;2024-12-25;0,56;4;727;En retard
CLI00176;Inäs Bodin;Homme;41;Yamoussoukro;Agriculture;749655;2947178;24;7,62;Oui;2023-05-20;0,51;5;678;En retard
CLI00177;Noâl Descamps;Femme;28;BouakÇ;Agriculture;640928;3821484;12;7,82;Non;2024-04-05;0,16;12;486;DÇfaut
CLI00178;Anaãs Ruiz;Femme;57;San Pedro;Commerce;735810;1642443;12;14,97;Non;2025-08-13;0,67;4;735;En retard
CLI00179;Thibault-Louis Martineau;Homme;46;San Pedro;Education;1139993;3885528;12;9,3;Non;2023-05-31;0,49;1;744;En retard
CLI00180;Alexandre Robert;Femme;39;Yamoussoukro;Commerce;97149;951750;24;7,68;Non;2025-02-06;0,39;11;589;DÇfaut
CLI00181;Nicole Tanguy;Femme;24;Korhogo;SantÇ;488221;3091069;36;10,77;Non;2022-09-11;0,52;4;662;En retard
CLI00182;Maryse Ferreira de la Klein;Homme;29;BouakÇ;Education;282755;3354303;18;20,9;Oui;2023-08-28;0,47;3;600;En retard
CLI00183;Bertrand Brunel;Femme;53;BouakÇ;Education;164420;430032;6;7,74;Non;2025-10-01;0,47;4;589;En retard
CLI00184;RenÇe Leroy;Homme;41;Korhogo;Immobilier;748005;1413165;24;24,81;Non;2021-06-15;0,91;0;779;Actif
CLI00185;Charles Pasquier;Femme;57;Korhogo;Immobilier;708706;4033687;6;12,37;Non;2021-10-20;0,84;0;721;Actif
CLI00186;Henri Le Maillet;Homme;59;BouakÇ;Education;1075287;2277430;36;16,55;Non;2022-11-19;0,89;0;813;Actif
CLI00187;TimothÇe Caron;Femme;30;Yamoussoukro;Transport;587923;314832;36;23,96;Non;2022-06-21;0,22;6;654;DÇfaut
CLI00188;Jules Richard;Homme;47;Daloa;Agriculture;507591;3492495;36;20,5;Oui;2023-05-28;1,11;0;712;SoldÇ
CLI00189;Marine Allain;Homme;56;Korhogo;Immobilier;761678;4062866;36;12,54;Non;2022-11-05;1,15;0;701;SoldÇ
CLI00190;Laurent Goncalves;Femme;64;Yamoussoukro;Immobilier;634407;4111597;12;24,15;Oui;2025-01-27;0,41;10;461;DÇfaut
CLI00191;Laurent Maillet;Homme;65;Yamoussoukro;Commerce;1105513;2709530;24;11,98;Non;2023-10-06;1,13;0;765;SoldÇ
CLI00192;AimÇ de LÇvàque;Femme;46;Yamoussoukro;Transport;803799;1278730;18;5,84;Oui;2022-07-21;1,15;0;801;SoldÇ
CLI00193;StÇphane Roche;Femme;51;Abidjan;Education;528762;1745069;36;10,42;Oui;2024-12-26;0,72;3;683;En retard
